"stateAbbr";"candidateID";"popVotes"
"AK";"2";"3866"
"AK";"21";"0"
"AL";"2";"0"
"AL";"21";"0"
"AR";"2";"4613"
"AR";"21";"13255"
"AZ";"21";"17449"
"AZ";"2";"1058"
"CA";"2";"0"
"CA";"21";"39596"
"CO";"21";"28917"
"CO";"2";"11699"
"CT";"2";"147"
"CT";"21";"2108"
"DC";"21";"0"
"DC";"2";"0"
"DE";"21";"706"
"DE";"2";"74"
"FL";"21";"0"
"FL";"2";"16475"
"GA";"21";"13017"
"GA";"2";"1110"
"HI";"21";"0"
"HI";"2";"4508"
"IA";"21";"12366"
"IA";"2";"5335"
"ID";"21";"46476"
"ID";"2";"4403"
"IL";"2";"1138"
"IL";"21";"11655"
"IN";"2";"1937"
"IN";"21";"0"
"KS";"21";"6520"
"KS";"2";"646"
"KY";"21";"22780"
"KY";"2";"438"
"LA";"21";"8547"
"LA";"2";"3129"
"MA";"21";"2719"
"MA";"2";"0"
"MD";"21";"9630"
"MD";"2";"566"
"ME";"21";"1887"
"ME";"2";"333"
"MI";"21";"8177"
"MI";"2";"16139"
"MN";"2";"9456"
"MN";"21";"53076"
"MO";"21";"7071"
"MO";"2";"13092"
"MS";"2";"3987"
"MS";"21";"0"
"MT";"21";"2297"
"MT";"2";"296"
"NC";"2";"0"
"NC";"21";"0"
"ND";"2";"1833"
"ND";"21";"0"
"NE";"2";"0"
"NE";"21";"0"
"NH";"21";"1064"
"NH";"2";"0"
"NJ";"21";"0"
"NJ";"2";"6161"
"NM";"21";"5825"
"NM";"2";"1514"
"NV";"2";"5268"
"NV";"21";"0"
"NY";"2";"897"
"NY";"21";"10373"
"OH";"2";"1887"
"OH";"21";"12574"
"OK";"21";"0"
"OK";"2";"0"
"OR";"21";"0"
"OR";"2";"0"
"PA";"21";"6472"
"PA";"2";"21572"
"RI";"21";"516"
"RI";"2";"30"
"SC";"21";"21016"
"SC";"2";"5765"
"SD";"21";"0"
"SD";"2";"4064"
"TN";"21";"11991"
"TN";"2";"1584"
"TX";"2";"4261"
"TX";"21";"42366"
"UT";"21";"243690"
"UT";"2";"8032"
"VA";"21";"54054"
"VA";"2";"0"
"VT";"2";"63"
"VT";"21";"639"
"WA";"21";"0"
"WA";"2";"17623"
"WI";"21";"11855"
"WI";"2";"12162"
"WV";"21";"1104"
"WV";"2";"3807"
"WY";"2";"2042"
"WY";"21";"0"
